,CASE_ID,PROJECT_NAME
194,09-15,Chapin Row
6,10-23,Tenley View
35,11-12,West End Parcels (Square 50 - West End Affordable)
4,11-24,Hine Junior High School (North LIHTC Residential)
20,12-16,Capitol Gateway Marketplace
147,02-38D,The View at the Waterfront South
304,04-14E,Florida Rock PUD - stage 2 residential building
119,05-28J,The Grove at Parkside
284,06-08D,Fort Lincoln Multifamily
303,06-14F,Wash Gateway - Mid Atlantic major modification
187,06-40C,The Edison at Union Market
185,07-13G,Randall School
310,08-30B,JBG (formerly Akridge) north of ballaprk
285,08-34,Capitol Crossing
288,09-03E,Skyland Town Center
294,10-03B,Avec
289,11-03,The Wharf Phase I
102,11-03J,The Wharf (Southwest Waterfront) Phase II
297,11-08C,Il Palazzo
290,11-13A,St. Matthews Redevelopment
298,12-02A,The Lexicon
295,12-14,301 M
291,12-18B,The Apollo
292,13-05C,"DC Water Parcels - F1, G1, G2"
309,13-09B,Stanton Square Apartments
149,13-14,McMillan Reservoir Parcel 2
150,13-17,Archer Park (Wing II)
151,13-17,Archer Park (Wing I)
296,14-07,Union Market Apartments
156,14-08,Portner Place
157,14-09,Square 369
168,14-14,"501 H Street, NE"
92,14-18A,Brookland Manor
93,14-18A,Brookland Manor
169,14-21,Sherman Avenue Apartments
299,15-01A,The Highline at Union Market
170,15-02,"3112 7th Street, NE"
160,15-03,Clifton Street
161,15-04,Totten Mews
79,15-05,Riverside Baptist Church Development (The Banks)
162,15-07,315 H St NE
171,15-10,5201 Hayes Street (Deanwood Hills)
9,15-12,1401 Pennsylvania Ave SE
13,15-13,Watkins Alley
306,15-15A,"1500 HARRY THOMAS WAY NE, Washington, DC 20002"
15,15-22,301 Florida Ave NE
77,15-24,6th Street and Florida Ave NE
99,15-27,"300 - 350 Morse Street NE, Florida Ave Market - stage 1"
89,15-27A,350 Morse Street
121,15-28,301 - 331 N Street NE
308,15-29,"7828 Georgia Ave NW, Jemals Gateway"
301,15-33A,Lockwood Apartments
287,15-34A,The Wren
125,16-05,500 and 530 Morse Street NE
126,16-07,The Perla
124,16-09,"1200 3rd Street NE, Central Armature"
98,16-10,400 Florida Avenue NE
293,16-11,Bruce Monroe Build First
131,16-12,Park Morton - Onsite
305,16-13B,1609 Congress Street NE
302,16-16,The Yards Parcel L2 - The Estate
133,16-17,1200 Varnum Street NE - Josephites / EYA rowhouse
137,16-20,3443 Benning Road / Eads Street NE
134,16-24,8th/O Street NW
136,16-26,4620 Wisconsin Avenue NW
135,16-29,Howard Road / Poplar Point  Stage 1
307,17-05,2100 2nd Street SW
100,17-06,Capitol Vista
95,17-08,Fitch and 50th Streets NE - residential
103,17-09,"1501 Harry Thomas Way, Eckington Park"
97,17-10,"5127 Nannie Helen Burroughs Ave NE, Strand"
300,17-13,1550 1st St SW
106,17-14,"500 Penn Street NE, mised use development in FAM"
104,17-19,Deanwood Town Center
105,17-21,501 I St SW
111,18-03,4611 - 4615 41st Street NW
86,18-14,3840 - 3848 South Capitol Street
87,18-21,3201 8th Street NE
88,19-01,1 Hawaii Avenue NE
286,89-7,Northwest One - North Capitol and K Streets NW